KFT-101;245;3.90;kártya
JHG-482;310;4.80;készpénz
LMP-773;415;6.20;utalás
TRX-552;530;7.80;csekk
DFR-194;610;8.90;-
GHK-827;720;10.40;kártya
QWE-638;805;11.70;készpénz
ZXC-219;910;13.10;utalás
BNM-744;1020;14.60;csekk
POI-315;1140;16.20;-
ASD-581;1215;17.30;kártya
FGH-920;1330;18.90;készpénz
JKL-447;1455;20.70;utalás
UIO-764;1510;21.40;csekk
ERT-882;1640;23.20;-
CVB-135;1725;24.40;kártya
MNB-278;1850;26.10;készpénz
YTR-609;1915;27.00;utalás
HJK-554;2050;28.90;csekk
PLM-391;2135;30.20;-
VFR-811;2240;31.70;kártya
TGB-992;2385;33.80;készpénz
NHY-184;2450;34.60;utalás
UJM-476;2580;36.40;csekk
IKO-721;2695;38.00;-
OLP-850;2760;38.90;kártya
QAZ-612;2890;40.80;készpénz
WSX-457;2955;41.70;utalás
EDC-963;3090;43.50;csekk
RFV-208;3180;44.80;-
TGB-304;3255;45.90;kártya
YHN-445;3390;47.80;készpénz
UJM-667;3485;49.20;utalás
IKL-728;3550;50.00;csekk
OPQ-835;3690;51.90;-
ZMA-990;3755;52.80;kártya
XSW-115;3895;54.70;készpénz
CDE-286;3980;55.90;utalás
VGT-347;4050;56.80;csekk
BHY-478;4195;58.90;-
NJU-589;4280;60.10;kártya
MKI-690;4355;61.20;készpénz
LOP-731;4490;63.00;utalás
PKJ-842;4585;64.40;csekk
QWE-953;4650;65.30;-
RTY-164;4795;67.20;kártya
UIO-275;4880;68.40;készpénz
PAS-386;4955;69.50;utalás
DFG-497;5090;71.40;csekk
GHJ-508;5185;72.70;-
JKL-619;5250;73.50;kártya
LZX-720;5390;75.50;készpénz
CVB-831;5480;76.80;utalás
BNM-942;5555;77.90;csekk
MKO-153;5695;79.80;-
PLN-264;5780;81.00;kártya
QAZ-375;5850;82.00;készpénz
WSX-486;5990;83.90;utalás
EDC-597;6085;85.20;csekk
RFV-608;6150;86.10;-
TGB-719;6295;88.10;kártya
YHN-820;6380;89.30;készpénz
UJM-931;6450;90.40;utalás
IKL-042;6595;92.40;csekk
OPQ-153;6680;93.60;-
ZMA-264;6750;94.60;kártya
XSW-375;6895;96.60;készpénz
CDE-486;6980;97.80;utalás
VGT-597;7055;98.90;csekk
BHY-608;7190;100.80;-
NJU-719;7285;102.20;kártya
MKI-820;7350;103.10;készpénz
LOP-931;7495;105.10;utalás
PKJ-042;7580;106.30;csekk
QWE-153;7650;107.20;-
RTY-264;7795;109.20;kártya
UIO-375;7880;110.40;készpénz
PAS-486;7955;111.50;utalás
DFG-597;8090;113.40;csekk
GHJ-608;8185;114.70;-
JKL-719;8250;115.60;kártya
LZX-820;8395;117.60;készpénz
CVB-931;8480;118.80;utalás
BNM-042;8555;119.90;csekk
MKO-153;8690;121.80;-
PLN-264;8785;123.20;kártya
QAZ-375;8850;124.10;készpénz
WSX-486;8995;126.10;utalás
EDC-597;9080;127.30;csekk
RFV-608;9155;128.40;-
TGB-719;9290;130.30;kártya
YHN-820;9385;131.70;készpénz
UJM-931;9450;132.60;utalás
IKL-042;9595;134.60;csekk
OPQ-153;9680;135.80;-
ZMA-264;9750;136.80;kártya
XSW-375;9895;138.80;készpénz
CDE-486;9980;140.00;utalás
VGT-597;10055;141.10;csekk
BHY-608;10190;143.00;-
NJU-719;10285;144.40;kártya
MKI-820;10350;145.30;készpénz
LOP-931;10495;147.30;utalás
PKJ-042;10580;148.50;csekk
